rfq_id,product_type,underlyings,basket_type,autocall_barrier_pct,protection_barrier_pct,no_call_period_months,observation_frequency,quoted_implied_vol,notional_credits,counterparty,trader_id,requested_date,executed,start_date,end_date,avg_duration_months
RFQ-000018,Sith Eternal Snowball,CLNE|WOOK|POBK,worst_of,1.0,0.5683,6,3M,0.2532,2000000,Chandrila Sovereign Fund,TRD-010,2023-09-05,True,2023-09-06,2031-03-14,71.4
RFQ-000019,Wretched Hive Digital,WOOK|REBL,worst_of,1.2028,0.6,0,Monthly,0.2405,100000,First Order Financial,TRD-014,2019-03-05,True,2019-03-06,2024-12-13,35.02
RFQ-000020,Wretched Hive Digital,REBL|SITH,worst_of,1.2899,0.6,0,2M,0.2145,500000,First Order Financial,TRD-032,2022-03-01,True,2022-03-03,2030-01-22,47.08
RFQ-000021,Mandalorian Twin-Win,NABO,single,1.2415,0.8466,0,12M,0.1282,500000,Jabba Asset Management,TRD-013,2021-02-22,True,2021-02-22,2024-01-09,34.04
RFQ-000022,Death Star Phoenix Note,REBL|HTTX,worst_of,1.0302,0.5567,0,6M,0.4039,100000,Jabba Asset Management,TRD-015,2023-09-29,True,2023-09-30,2027-12-27,39.65
RFQ-000023,Kessel Run Snowball,CLNE|REBL,worst_of,1.0,0.6399,6,1M,0.1533,250000,Corellian Capital,TRD-002,2017-10-02,True,2017-10-06,2023-10-25,21.92
RFQ-000024,Holocron Reverse Convertible,REBL,single,1.1773,0.8112,0,1M,0.1542,100000,First Order Financial,TRD-028,2021-12-09,False,2021-12-09,2031-11-15,
RFQ-000025,Sith Eternal Snowball,NABO|POBK|DRC,worst_of,1.0,0.5623,1,Monthly,0.2804,100000,Chandrila Sovereign Fund,TRD-025,2020-11-04,True,2020-11-07,2026-06-04,45.59
RFQ-000026,Sith Eternal Snowball,DRC|KYBR|MNDO,worst_of,1.0,0.6046,5,6M,0.3349,100000,Jabba Asset Management,TRD-023,2018-10-31,True,2018-11-02,2026-09-24,70.88
RFQ-000027,Death Star Phoenix Note,KYBR|POBK,worst_of,0.9799,0.5888,3,1Y,0.3125,500000,Kamino Cloning Trust,TRD-039,2018-06-13,True,2018-06-17,2023-10-28,50.46
RFQ-000028,Mandalorian Twin-Win,POBK,single,1.2756,0.8361,0,1M,0.3696,250000,Banco de Coruscant,TRD-036,2024-03-18,False,2024-03-18,2026-11-21,
RFQ-000029,Death Star Phoenix Note,DRC|CLNE,worst_of,1.0019,0.6323,3,2M,0.2371,500000,First Order Financial,TRD-030,2023-04-17,False,2023-04-17,2032-04-20,
RFQ-000030,Death Star Phoenix Note,WOOK|HTTX,worst_of,0.9577,0.5653,0,Y,0.4159,500000,Chandrila Sovereign Fund,TRD-038,2016-06-14,True,2016-06-17,2026-05-16,101.92
RFQ-000031,Sith Eternal Snowball,NABO|MNDO|DRC,worst_of,1.0,0.6259,4,1M,0.2849,100000,Chandrila Sovereign Fund,TRD-039,2016-09-12,False,2016-09-12,2022-07-14,
RFQ-000032,Holocron Reverse Convertible,CLNE,single,1.17,0.8258,0,Quarterly,0.1537,100000,Banco de Coruscant,TRD-039,2023-08-24,True,2023-08-28,2026-11-01,21.9
RFQ-000033,Holocron Reverse Convertible,JEDI,single,1.3078,0.7114,0,3M,0.1432,250000,Jabba Asset Management,TRD-004,2016-01-19,False,2016-01-19,2018-12-20,
RFQ-000034,Holocron Reverse Convertible,REBL,single,1.2301,0.7163,0,1Y,0.2041,100000,Chandrila Sovereign Fund,TRD-026,2020-05-08,False,2020-05-08,2029-10-15,
RFQ-000035,Mandalorian Twin-Win,JEDI,single,1.3984,0.8331,0,6M,0.1493,100000,Banco de Coruscant,TRD-002,2021-01-25,True,2021-01-26,2027-07-07,64.87
RFQ-000036,Kessel Run Snowball,WOOK|SITH,worst_of,1.0,0.5055,4,6M,0.3055,100000,Banco de Coruscant,TRD-028,2023-10-18,True,2023-10-23,2030-01-11,43.55
RFQ-000037,Holocron Reverse Convertible,BSKR,single,1.3287,0.7036,0,3M,0.2887,500000,Corellian Capital,TRD-011,2017-11-16,False,2017-11-16,2019-12-23,
RFQ-000038,Sith Eternal Snowball,BSKR|DRC|REBL,worst_of,1.0,0.62,6,6M,0.2463,500000,Banco de Coruscant,TRD-037,2017-03-31,False,2017-03-31,2027-01-17,
RFQ-000039,Mandalorian Twin-Win,NABO,single,1.3977,0.8244,0,1Y,0.1168,100000,Jabba Asset Management,TRD-023,2020-02-13,False,2020-02-13,2024-03-23,
RFQ-000040,Mandalorian Twin-Win,CLNE,single,1.1573,0.7906,0,1D,0.1783,100000,Kamino Cloning Trust,TRD-022,2019-01-02,True,2019-01-07,2025-11-06,39.29
RFQ-000041,Wretched Hive Digital,CLNE|TECH,worst_of,1.1632,0.6,0,3M,0.2809,2000000,Chandrila Sovereign Fund,TRD-034,2017-02-20,False,2017-02-20,2024-12-08,
RFQ-000042,Holocron Reverse Convertible,SITH,single,1.258,0.766,0,1D,0.2315,2000000,Alderaan Wealth Partners,TRD-014,2024-01-29,False,2024-01-29,2031-12-25,
RFQ-000043,Holocron Reverse Convertible,BSKR,single,1.2497,0.7531,0,3M,0.2973,1000000,Nal Hutta Traders,TRD-017,2020-11-18,True,2020-11-20,2029-09-28,15.91
RFQ-000044,Holocron Reverse Convertible,WOOK,single,1.2946,0.7341,0,1 month,0.2706,250000,Corellian Capital,TRD-037,2024-04-04,True,2024-04-09,2032-03-10,14.91
RFQ-000045,Holocron Reverse Convertible,MNDO,single,1.2372,0.8429,0,trimestral,0.3585,500000,Jabba Asset Management,TRD-033,2019-12-20,True,2019-12-22,2026-09-09,12.14
RFQ-000046,Death Star Phoenix Note,SITH|NABO,worst_of,1.0125,0.6833,0,6M,0.1609,1000000,Corellian Capital,TRD-023,2018-03-20,False,2018-03-20,2022-06-17,
RFQ-000047,Death Star Phoenix Note,BSKR|REBL,worst_of,1.0111,0.6139,0,1M,0.2499,2000000,Chandrila Sovereign Fund,TRD-019,2020-02-10,True,2020-02-13,2022-09-14,10.85
RFQ-000048,Kessel Run Snowball,CLNE|JEDI,worst_of,1.0,0.6022,5,3M,0.1437,250000,Alderaan Wealth Partners,TRD-007,2023-06-14,True,2023-06-15,2026-01-11,21.22
RFQ-000049,Holocron Reverse Convertible,WOOK,single,1.1871,0.8363,0,3M,0.3,250000,Nal Hutta Traders,TRD-037,2022-04-20,False,2022-04-20,2032-01-01,
RFQ-000050,Kessel Run Snowball,BSKR|WOOK,worst_of,1.0,0.5472,5,3M,0.3101,1000000,Chandrila Sovereign Fund,TRD-035,2020-10-21,True,2020-10-24,2029-12-08,65.57
RFQ-000051,Death Star Phoenix Note,JEDI|TECH,worst_of,0.9852,0.5637,1,3M,0.2332,100000,Kamino Cloning Trust,TRD-014,2020-06-22,False,2020-06-22,2023-11-17,
RFQ-000052,Death Star Phoenix Note,JEDI|MNDO,worst_of,1.007,0.6028,1,3M,0.2172,500000,First Order Financial,TRD-029,2020-06-10,True,2020-06-11,2029-07-30,38.48
RFQ-000053,Kessel Run Snowball,WOOK|BSKR,worst_of,1.0,0.5025,3,anual,0.2659,500000,Corellian Capital,TRD-022,2018-01-16,True,2018-01-19,2025-08-02,60.21
RFQ-000054,Sith Eternal Snowball,NABO|DRC|TECH,worst_of,1.0,0.6258,5,3 months,0.258,100000,Nal Hutta Traders,TRD-011,2018-06-01,True,2018-06-01,2025-03-05,51.99
RFQ-000055,Holocron Reverse Convertible,REBL,single,1.2877,0.8371,0,Monthly,0.1947,1000000,Chandrila Sovereign Fund,TRD-014,2021-11-10,True,2021-11-11,2025-12-09,7.68
RFQ-000056,Death Star Phoenix Note,NABO|KYBR,worst_of,0.9725,0.5681,0,1Y,0.1821,250000,Corellian Capital,TRD-017,2022-03-28,False,2022-03-28,2027-08-01,
RFQ-000057,Death Star Phoenix Note,REBL|JEDI,worst_of,0.9985,0.672,1,1M,0.1594,100000,Alderaan Wealth Partners,TRD-027,2020-11-23,True,2020-11-27,2024-09-04,12.65
RFQ-000058,Wretched Hive Digital,SITH|CLNE,worst_of,1.2074,0.6,0,mensual,0.2345,2000000,Jabba Asset Management,TRD-032,2018-07-04,True,2018-07-08,2025-05-28,64.8
RFQ-000059,Sith Eternal Snowball,KYBR|POBK|TECH,worst_of,1.0,0.6364,3,2M,0.3494,100000,First Order Financial,TRD-001,2021-02-15,True,2021-02-20,2025-01-19,28.1
RFQ-000060,Wretched Hive Digital,REBL|BSKR,worst_of,1.2971,0.6,0,1M,0.2697,100000,Kamino Cloning Trust,TRD-024,2020-08-26,False,2020-08-26,2029-08-25,
RFQ-000061,Death Star Phoenix Note,SITH|MNDO,worst_of,0.9585,0.5607,3,3M,0.3222,5000000,First Order Financial,TRD-005,2020-04-09,True,2020-04-14,2027-04-17,45.19
RFQ-000062,Sith Eternal Snowball,TECH|REBL|BSKR,worst_of,1.0,0.6427,2,1M,0.2983,100000,Corellian Capital,TRD-017,2022-02-18,True,2022-02-23,2030-08-19,39.54
RFQ-000063,Sith Eternal Snowball,CORL|POBK|NABO,worst_of,1.0,0.6168,6,1M,0.3052,100000,Nal Hutta Traders,TRD-010,2024-02-06,True,2024-02-09,2026-05-22,23.49
RFQ-000064,Kessel Run Snowball,REBL|HTTX,worst_of,1.0,0.6388,4,3M,0.3349,500000,Corellian Capital,TRD-016,2019-09-03,False,2019-09-03,2026-03-30,
RFQ-000065,Mandalorian Twin-Win,TECH,single,1.2275,0.7503,0,Monthly,0.3479,100000,Nal Hutta Traders,TRD-013,2023-08-30,True,2023-08-30,2030-07-19,9.02
RFQ-000066,Mandalorian Twin-Win,TECH,single,1.2736,0.7717,0,6M,0.3757,100000,Chandrila Sovereign Fund,TRD-024,2022-05-05,True,2022-05-10,2030-12-14,36.67
RFQ-000067,Death Star Phoenix Note,DRC|CORL,worst_of,0.983,0.6751,0,6M,0.2599,100000,Kamino Cloning Trust,TRD-019,2017-06-06,True,2017-06-11,2027-04-19,60.74
RFQ-000068,Sith Eternal Snowball,HTTX|POBK|SITH,worst_of,1.0,0.5832,2,1D,0.4669,2000000,Alderaan Wealth Partners,TRD-009,2021-12-10,True,2021-12-14,2026-06-09,44.61
RFQ-000069,Wretched Hive Digital,MNDO|BSKR,worst_of,1.1601,0.6,0,1D,0.3062,250000,Alderaan Wealth Partners,TRD-011,2019-09-26,False,2019-09-26,2028-06-03,
RFQ-000070,Kessel Run Snowball,SITH|WOOK,worst_of,1.0,0.5678,5,1M,0.2363,250000,Chandrila Sovereign Fund,TRD-012,2016-01-14,True,2016-01-17,2023-05-14,36.89
RFQ-000071,Mandalorian Twin-Win,KYBR,single,1.2041,0.7913,0,3M,0.2336,1000000,Chandrila Sovereign Fund,TRD-008,2018-04-17,False,2018-04-17,2021-07-06,
RFQ-000072,Mandalorian Twin-Win,REBL,single,1.1515,0.845,0,1M,0.1858,100000,Corellian Capital,TRD-013,2017-04-21,True,2017-04-22,2019-12-09,5.38
RFQ-000073,Wretched Hive Digital,DRC|SITH,worst_of,1.1662,0.6,0,12M,0.295,100000,Kamino Cloning Trust,TRD-029,2019-09-16,False,2019-09-16,2027-09-16,
RFQ-000074,Kessel Run Snowball,BSKR|POBK,worst_of,1.0,0.6407,4,6M,0.3564,100000,Chandrila Sovereign Fund,TRD-034,2021-07-28,False,2021-07-28,2029-08-02,
RFQ-000075,Holocron Reverse Convertible,CLNE,single,1.2154,0.7942,0,6M,0.1506,250000,Nal Hutta Traders,TRD-004,2016-01-26,False,2016-01-26,2022-07-23,
RFQ-000076,Death Star Phoenix Note,POBK|CLNE,worst_of,0.9636,0.6305,1,1M,0.2977,500000,Corellian Capital,TRD-006,2021-09-17,True,2021-09-17,2029-05-04,20.14
RFQ-000077,Mandalorian Twin-Win,BSKR,single,1.3313,0.7615,0,6M,0.2947,100000,Banco de Coruscant,TRD-018,2021-10-22,False,2021-10-22,2031-05-31,
RFQ-000078,Mandalorian Twin-Win,JEDI,single,1.3587,0.8132,0,1M,0.1419,250000,Jabba Asset Management,TRD-017,2022-01-19,False,2022-01-19,2031-11-17,
RFQ-000079,Sith Eternal Snowball,CLNE|POBK|JEDI,worst_of,1.0,0.6457,5,6M,0.2781,500000,Kamino Cloning Trust,TRD-015,2022-10-21,True,2022-10-23,2031-05-23,83.53
RFQ-000080,Mandalorian Twin-Win,NABO,single,1.2198,0.7945,0,3M,0.1103,1000000,Kamino Cloning Trust,TRD-022,2020-03-13,False,2020-03-13,2024-07-26,
RFQ-000081,Mandalorian Twin-Win,KYBR,single,1.1714,0.8237,0,M,0.2426,100000,First Order Financial,TRD-026,2023-10-26,True,2023-10-29,2029-12-15,13.14
RFQ-000082,Wretched Hive Digital,WOOK|HTTX,worst_of,1.3943,0.6,0,1M,0.404,100000,Alderaan Wealth Partners,TRD-027,2023-04-17,False,2023-04-17,2031-11-18,
RFQ-000083,Sith Eternal Snowball,KYBR|BSKR|MNDO,worst_of,1.0,0.5777,1,6M,0.3006,500000,Kamino Cloning Trust,TRD-033,2018-06-21,False,2018-06-21,2023-05-30,
RFQ-000084,Mandalorian Twin-Win,POBK,single,1.1854,0.7732,0,1D,0.4258,5000000,First Order Financial,TRD-036,2019-01-02,False,2019-01-02,2024-06-26,
RFQ-000085,Wretched Hive Digital,HTTX|CLNE,worst_of,1.1502,0.6,0,2M,0.3415,500000,Corellian Capital,TRD-011,2022-06-07,True,2022-06-08,2027-10-06,63.76
RFQ-000086,Sith Eternal Snowball,POBK|BSKR|MNDO,worst_of,1.0,0.5788,0,Monthly,0.4157,500000,Kamino Cloning Trust,TRD-024,2023-09-28,True,2023-10-03,2026-12-01,23.28
RFQ-000087,Mandalorian Twin-Win,WOOK,single,1.1823,0.7663,0,2M,0.2902,250000,First Order Financial,TRD-019,2016-11-11,True,2016-11-12,2024-03-24,27.06
RFQ-000088,Holocron Reverse Convertible,NABO,single,1.1741,0.7794,0,3 months,0.1268,500000,Kamino Cloning Trust,TRD-034,2023-04-06,True,2023-04-06,2031-04-28,52.87
RFQ-000089,Death Star Phoenix Note,WOOK|JEDI,worst_of,0.9806,0.6178,3,1M,0.1792,1000000,Alderaan Wealth Partners,TRD-022,2017-05-09,False,2017-05-09,2025-12-14,
RFQ-000090,Death Star Phoenix Note,REBL|CORL,worst_of,1.0143,0.5681,0,2M,0.2219,100000,Kamino Cloning Trust,TRD-026,2016-12-14,True,2016-12-19,2022-09-25,21.01
RFQ-000091,Death Star Phoenix Note,JEDI|DRC,worst_of,0.9819,0.6601,1,2M,0.2549,1000000,Chandrila Sovereign Fund,TRD-012,2017-10-19,False,2017-10-19,2022-10-31,
RFQ-000092,Death Star Phoenix Note,SITH|NABO,worst_of,1.006,0.6249,3,6M,0.1683,2000000,First Order Financial,TRD-018,2019-08-22,False,2019-08-22,2024-03-30,
RFQ-000093,Wretched Hive Digital,NABO|POBK,worst_of,1.2312,0.6,0,M,0.2991,250000,Alderaan Wealth Partners,TRD-019,2023-10-02,True,2023-10-07,2030-09-30,68.56
RFQ-000094,Death Star Phoenix Note,CORL|WOOK,worst_of,1.0289,0.6292,0,3M,0.234,1000000,Jabba Asset Management,TRD-009,2017-03-15,True,2017-03-15,2019-08-01,19.85
RFQ-000095,Sith Eternal Snowball,TECH|MNDO|DRC,worst_of,1.0,0.5796,0,2M,0.3496,250000,First Order Financial,TRD-022,2020-05-05,False,2020-05-05,2024-08-17,
RFQ-000096,Death Star Phoenix Note,REBL|TECH,worst_of,0.9537,0.561,2,1M,0.2879,250000,Jabba Asset Management,TRD-030,2019-09-26,False,2019-09-26,2029-09-02,
RFQ-000097,Wretched Hive Digital,KYBR|CORL,worst_of,1.3543,0.6,0,6M,0.2262,250000,Alderaan Wealth Partners,TRD-027,2016-10-17,True,2016-10-18,2021-04-03,49.9
RFQ-000098,Kessel Run Snowball,HTTX|POBK,worst_of,1.0,0.6247,4,6M,0.4819,100000,Corellian Capital,TRD-027,2020-01-27,True,2020-02-01,2022-09-22,30.24
RFQ-000099,Mandalorian Twin-Win,MNDO,single,1.3892,0.8165,0,1M,0.3079,500000,Corellian Capital,TRD-015,2020-09-02,True,2020-09-02,2029-05-31,30.73
RFQ-000100,Wretched Hive Digital,POBK|WOOK,worst_of,1.2925,0.6,0,1M,0.3798,500000,First Order Financial,TRD-023,2019-03-08,False,2019-03-08,2028-07-29,
RFQ-000101,Kessel Run Snowball,POBK|KYBR,worst_of,1.0,0.5063,6,6M,0.3016,500000,First Order Financial,TRD-003,2019-03-04,True,2019-03-09,2022-11-27,36.36
RFQ-000102,Mandalorian Twin-Win,TECH,single,1.2279,0.8089,0,1M,0.3758,100000,First Order Financial,TRD-012,2017-05-29,True,2017-05-31,2021-07-27,18.02
RFQ-000103,Sith Eternal Snowball,NABO|CORL|CLNE,worst_of,1.0,0.56,5,1Y,0.1558,100000,Banco de Coruscant,TRD-011,2019-02-20,True,2019-02-24,2021-07-27,25.97
RFQ-000104,Wretched Hive Digital,HTTX|WOOK,worst_of,1.1679,0.6,0,3 months,0.3699,100000,Kamino Cloning Trust,TRD-002,2023-04-28,True,2023-04-29,2027-02-08,47.15
RFQ-000105,Holocron Reverse Convertible,KYBR,single,1.2431,0.7553,0,1Y,0.198,100000,First Order Financial,TRD-024,2022-10-18,True,2022-10-19,2032-03-11,60.33
RFQ-000106,Mandalorian Twin-Win,REBL,single,1.1756,0.8411,0,1D,0.158,100000,Banco de Coruscant,TRD-012,2017-08-08,False,2017-08-08,2021-09-28,
RFQ-000107,Death Star Phoenix Note,REBL|TECH,worst_of,0.9784,0.6031,1,1M,0.2353,250000,Alderaan Wealth Partners,TRD-026,2021-11-22,False,2021-11-22,2023-12-16,
RFQ-000108,Death Star Phoenix Note,KYBR|SITH,worst_of,0.9598,0.6103,2,1M,0.2458,100000,Chandrila Sovereign Fund,TRD-032,2023-12-06,False,2023-12-06,2027-02-03,
RFQ-000109,Kessel Run Snowball,BSKR|KYBR,worst_of,1.0,0.5385,4,1M,0.2877,500000,Chandrila Sovereign Fund,TRD-020,2019-05-10,True,2019-05-12,2028-12-30,38.28
RFQ-000110,Sith Eternal Snowball,BSKR|REBL|DRC,worst_of,1.0,0.5704,0,M,0.2688,500000,Nal Hutta Traders,TRD-001,2017-01-03,False,2017-01-03,2019-10-04,
RFQ-000111,Mandalorian Twin-Win,MNDO,single,1.3102,0.8199,0,6M,0.4038,500000,Banco de Coruscant,TRD-002,2021-02-18,False,2021-02-18,2023-06-05,
RFQ-000112,Death Star Phoenix Note,CORL|WOOK,worst_of,1.0028,0.6624,0,3M,0.2801,500000,Jabba Asset Management,TRD-013,2021-09-15,False,2021-09-15,2031-03-28,
RFQ-000113,Sith Eternal Snowball,DRC|NABO|SITH,worst_of,1.0,0.6289,5,Y,0.2432,500000,Kamino Cloning Trust,TRD-012,2022-11-29,False,2022-11-29,2026-10-11,
RFQ-000114,Sith Eternal Snowball,DRC|TECH|REBL,worst_of,1.0,0.6028,2,6M,0.3085,250000,Kamino Cloning Trust,TRD-010,2024-03-14,True,2024-03-14,2026-05-05,19.26
RFQ-000115,Holocron Reverse Convertible,MNDO,single,1.2332,0.7137,0,1M,0.3613,1000000,Alderaan Wealth Partners,TRD-021,2017-10-27,False,2017-10-27,2019-12-29,
RFQ-000116,Mandalorian Twin-Win,WOOK,single,1.3294,0.7631,0,Quarterly,0.3168,100000,First Order Financial,TRD-012,2019-06-24,True,2019-06-26,2022-09-17,25.75
RFQ-000117,Death Star Phoenix Note,DRC|JEDI,worst_of,0.9989,0.6867,1,1M,0.2123,100000,Kamino Cloning Trust,TRD-009,2021-09-09,True,2021-09-12,2024-05-05,11.77
RFQ-000118,Mandalorian Twin-Win,SITH,single,1.2804,0.8033,0,1 month,0.3113,2000000,Nal Hutta Traders,TRD-010,2022-11-18,True,2022-11-23,2031-08-28,30.86
RFQ-000119,Mandalorian Twin-Win,TECH,single,1.2606,0.7903,0,3M,0.2732,100000,Corellian Capital,TRD-026,2023-09-26,False,2023-09-26,2026-10-01,
RFQ-000120,Mandalorian Twin-Win,DRC,single,1.2913,0.8222,0,1M,0.3329,250000,Banco de Coruscant,TRD-005,2019-09-04,False,2019-09-04,2022-12-14,
RFQ-000121,Kessel Run Snowball,JEDI|MNDO,worst_of,1.0,0.6139,3,6M,0.2651,1000000,Banco de Coruscant,TRD-039,2023-02-27,True,2023-03-04,2031-08-19,43.21
RFQ-000122,Mandalorian Twin-Win,HTTX,single,1.3517,0.7907,0,1D,0.4377,100000,Corellian Capital,TRD-034,2018-04-27,True,2018-04-29,2027-03-15,5.22
RFQ-000123,Sith Eternal Snowball,JEDI|KYBR|REBL,worst_of,1.0,0.6085,5,2M,0.192,250000,Jabba Asset Management,TRD-003,2021-03-02,True,2021-03-05,2026-04-11,32.98
RFQ-000124,Kessel Run Snowball,MNDO|TECH,worst_of,1.0,0.5566,5,1Y,0.398,100000,Alderaan Wealth Partners,TRD-004,2017-11-02,False,2017-11-02,2024-02-06,
RFQ-000125,Sith Eternal Snowball,REBL|BSKR|NABO,worst_of,1.0,0.5642,5,1M,0.1709,500000,First Order Financial,TRD-006,2023-03-17,False,2023-03-17,2030-02-14,
RFQ-000126,Mandalorian Twin-Win,TECH,single,1.2238,0.825,0,1M,0.2968,250000,Chandrila Sovereign Fund,TRD-009,2019-10-25,True,2019-10-27,2028-01-18,22.33
RFQ-000127,Death Star Phoenix Note,TECH|WOOK,worst_of,0.9513,0.6739,2,2M,0.3493,100000,Alderaan Wealth Partners,TRD-036,2023-05-23,False,2023-05-23,2026-12-13,
RFQ-000128,Holocron Reverse Convertible,CORL,single,1.3368,0.727,0,1Y,0.3201,250000,Corellian Capital,TRD-028,2016-08-15,True,2016-08-15,2026-07-30,58.98
RFQ-000129,Death Star Phoenix Note,REBL|KYBR,worst_of,0.9764,0.6057,2,2M,0.2017,250000,Banco de Coruscant,TRD-020,2019-07-23,True,2019-07-26,2028-06-03,21.57
RFQ-000130,Holocron Reverse Convertible,KYBR,single,1.2162,0.7171,0,2M,0.2451,1000000,Corellian Capital,TRD-006,2017-07-31,True,2017-08-04,2024-12-05,17.81
RFQ-000131,Kessel Run Snowball,JEDI|NABO,worst_of,1.0,0.5832,3,1Y,0.1279,100000,First Order Financial,TRD-014,2021-03-31,False,2021-03-31,2023-12-29,
RFQ-000132,Death Star Phoenix Note,KYBR|POBK,worst_of,0.9682,0.6291,0,3M,0.3261,100000,Kamino Cloning Trust,TRD-005,2017-07-27,False,2017-07-27,2020-05-08,
RFQ-000133,Mandalorian Twin-Win,POBK,single,1.3655,0.7678,0,2M,0.4624,2000000,Banco de Coruscant,TRD-028,2020-07-30,True,2020-08-02,2028-07-30,21.99
RFQ-000134,Kessel Run Snowball,HTTX|MNDO,worst_of,1.0,0.64,6,3M,0.4384,100000,Corellian Capital,TRD-015,2017-02-15,False,2017-02-15,2026-03-23,
RFQ-000135,Death Star Phoenix Note,NABO|WOOK,worst_of,0.9826,0.6637,0,3M,0.167,100000,Jabba Asset Management,TRD-004,2016-06-10,True,2016-06-10,2018-12-18,14.62
RFQ-000136,Sith Eternal Snowball,NABO|DRC|SITH,worst_of,1.0,0.6126,1,1M,0.2149,1000000,First Order Financial,TRD-032,2016-07-27,True,2016-07-31,2023-07-08,41.5
RFQ-000137,Sith Eternal Snowball,CLNE|CORL|HTTX,worst_of,1.0,0.5513,4,1D,0.3539,1000000,First Order Financial,TRD-019,2018-02-28,True,2018-03-03,2026-12-31,82.13
RFQ-000138,Death Star Phoenix Note,JEDI|HTTX,worst_of,1.0398,0.6252,0,2M,0.3163,100000,Kamino Cloning Trust,TRD-035,2017-02-16,False,2017-02-16,2025-07-23,
RFQ-000139,Mandalorian Twin-Win,CLNE,single,1.1864,0.7776,0,3M,0.1573,1000000,First Order Financial,TRD-013,2021-11-15,True,2021-11-19,2028-07-24,46.22
RFQ-000140,Mandalorian Twin-Win,JEDI,single,1.3852,0.7937,0,1M,0.1625,100000,Nal Hutta Traders,TRD-035,2017-11-13,True,2017-11-17,2025-05-19,73.11
RFQ-000141,Kessel Run Snowball,CORL|BSKR,worst_of,1.0,0.62,5,1M,0.3013,1000000,Jabba Asset Management,TRD-020,2018-08-06,True,2018-08-11,2027-09-17,51.96
